通し番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,教科書参照箇所
162,ビッグデータの特性を表す「3つのV」に含まれないものはどれか。,Volume（量）,Variety（多様性）,Velocity（発生・更新頻度）,Value（価値・価格）,4,ビッグデータは、データの量（Volume）、種類・多様性（Variety）、発生・更新頻度（Velocity）の3つのVで定義されます。Value（価値・価格）は含まれません。,25 データの収集と整理
163,日本語を表現するための文字コードのうち、Windowsなどのコンピュータで昔から広く使われてきたものはどれか。,ASCIIコード,シフトJISコード,Unicode,EUC,2,日本でパソコンが普及し始めた頃から、日本語を扱うために広く利用されてきたのが「シフトJISコード」です。「ASCII」は英数字、「Unicode」は世界中の文字を統一して扱うコード、「EUC」はUNIX環境などで使われた日本語コードです。,12 数値と文字の表現
164,2進数の「01101101」と「00010011」を加算した結果として正しいものはどれか。,1110000,1111110,1111111,10000000,4,2進数で右端から計算すると、1+1=10で繰り上がりが次々と生じ、最終的に「10000000」となります。,13 演算の仕組み
165,論理回路において、入力のどちらか一方でも「1」であれば、出力が「1」になる回路はどれか。,AND回路,OR回路,NOT回路,NAND回路,2,複数の入力のうち少なくとも1つが「1」であれば「1」を出力する回路を「OR回路（論理和回路）」といいます。「AND回路」はすべて1のときのみ1を出力、「NOT回路」は入力を反転、「NAND回路」はANDの逆を出力します。,13 演算の仕組み
166,アナログの音をデジタル化する際の正しい手順はどれか。,量子化→標本化→符号化,標本化→符号化→量子化,標本化→量子化→符号化,符号化→量子化→標本化,3,波形を一定間隔で区切る（標本化）、段階値に近似する（量子化）、0と1のデータに変換する（符号化）の順で行います。,14 音の表現
167,ポスターなどのデザインにおいて、白い背景に黒い文字を使うことで見やすさを高める工夫を何というか。,明度差を活かした視認性の向上,色相差を活かした誘目性の向上,寒色系による落ち着いた印象,補色を利用したデザイン,1,背景と文字の明るさの差（明度差）を大きくすることで、文字がはっきりと読みやすくなる（視認性が高まる）効果を利用しています。,07 情報デザイン
168,JIS規格による色が示す意味の中で、「安全」や「避難」を示す色として最も適当なものはどれか。,赤,黄,青,緑,4,JIS規格の安全色において、緑は「安全・避難・救護」を意味し、非常口のマークなどに使用されます。赤は「防火・停止・危険」、黄は「警告」などを意味します。,07 情報デザイン
169,押すためのボタンや引くためのドアノブなど、人がどのように操作すればよいかのサインとなるデザインを何というか。,ピクトグラム,アフォーダンス,シグニファイア,インフォグラフィックス,3,対象物が持つ意味（アフォーダンス）を、視覚的・直感的に操作の手がかりとして伝えるサインを「シグニファイア」といいます。「ピクトグラム」は図記号、「インフォグラフィックス」は情報を視覚的に整理したものです。,07 情報デザイン
170,インターネット上でコンピュータなどの通信機器を識別するために割り当てられる番号（住所のようなもの）を何というか。,MACアドレス,IPアドレス,URL,ドメイン名,2,通信の宛先として使用される住所のような番号を「IPアドレス」といいます。「MACアドレス」は機器固有の物理アドレス、「URL」はWeb上のデータの場所、「ドメイン名」はIPアドレスを人間にわかりやすくした名前です。,20 インターネットの仕組み
171,インターネットの普及によるアドレス枯渇問題に対応するため導入された「IPv6」アドレスは、何ビットのデータで表現されるか。,32ビット,64ビット,128ビット,256ビット,3,従来のIPv4が32ビット（約43億個）であったのに対し、IPv6は128ビットに拡張され、実質的に無限のアドレスを割り当て可能です。,20 インターネットの仕組み
172,電子メールの宛先指定において、互いのアドレスを知らない複数の人に同じメールを一斉送信する際、アドレスを隠すために利用すべき欄はどれか。,To,CC,BCC,Subject,3,「BCC」に入力したアドレスは、他の受信者には表示されないため、個人情報保護の観点から一斉送信に利用されます。「To」は本来の宛先、「CC」は参考として情報を共有したい宛先、「Subject」はメールの件名です。,21 Webページの閲覧とメールの送受信
173,ZIP形式などに代表される「可逆圧縮」の特徴として最も適当なものはどれか。,圧縮率が非常に高いが画質は劣化する。,圧縮前と伸張後のデータが完全に同一になる。,人間の感覚の特性を利用して不要なデータを削る。,一度圧縮すると二度と元のデータには戻せない。,2,文書やプログラムなど、完全に元通りに復元できる圧縮方式を「可逆圧縮」といいます。データの一部を削って圧縮率を高め、完全には元に戻せない方式を「非可逆圧縮」といいます。,18 データの圧縮と効率化
174,「AAAAA」を「A5」のように、同じデータが何個並んでいるかを数えて記録する圧縮方式を何というか。,ランレングス圧縮,ハフマン符号化,JPEG圧縮,MP3圧縮,1,データの連続する回数を情報として置き換えることでデータ量を減らす方式を「ランレングス圧縮」といいます。「ハフマン符号化」は出現頻度に応じて短い符号を割り当てる方式、「JPEG圧縮」「MP3圧縮」はそれぞれ画像・音声の非可逆圧縮形式です。,18 データの圧縮と効率化
175,デジタルカメラの写真などでよく用いられ、人間の目の特性を利用してデータの一部を削ることで高い圧縮率を実現する画像形式はどれか。,BMP,PNG,JPEG,ZIP,3,JPEGは、色が滑らかに変化する写真などに適しており、非可逆圧縮方式を採用しています。「BMP」は無圧縮、「PNG」は画像の可逆圧縮形式、「ZIP」はファイルの可逆圧縮形式です。,18 データの圧縮と効率化
176,プログラムの基本的な処理構造のうち、条件によって実行する処理を分ける構造を何というか。,順次構造,反復構造,選択（分岐）構造,再帰構造,3,「もし〜ならばAの処理、そうでなければBの処理」というように、条件に応じて処理を切り替える構造を「選択（分岐）構造」といいます。「順次構造」は順番に実行、「反復構造」は繰り返し、「再帰構造」は関数が自分を呼び出す仕組みです。,37 プログラミングの基本
177,Pythonにおいて、画面に文字や変数の値を表示するために使用する関数はどれか。,input(),print(),len(),int(),2,文字列や計算結果などを画面に出力（表示）する際には「print()」を使用します。「input()」はキーボード入力の受け取り、「len()」は要素数の取得、「int()」は整数への変換に用います。,37 プログラミングの基本
178,変数aの値に1を足して、再度変数aに記憶させる（カウントアップする）正しい記述はどれか。,a == 1,a + 1 = a,a = a + 1,a = 1,3,プログラミングの「=」は代入です。右辺の「a + 1」で現在の変数aの値に1を加算し、その結果を左辺の変数aに上書き代入する「a = a + 1」が正しい記述です。,37 プログラミングの基本
179,Pythonの「for i in range(1、 11):」という処理において、変数iはいくつからいくつまで変化するか。,1から11,0から10,1から10,0から11,3,range(開始値、 終了値) は、開始値から始まり「終了値を含まない」範囲で変化するため、1から10まで変化します。,37 プログラミングの基本
180,配列の中に格納された一つひとつのデータを識別するために割り当てられる番号を何というか。,要素,変数,引数,添字（インデックス）,4,配列内の各データの位置を指定するための番号を「添字（インデックス）」といい、通常は0から始まります。「要素」はデータそのもの、「変数」はデータの箱、「引数」は関数に渡す値です。,38 配列
181,2次元配列「 Zahyou［x、 y］ 」において、最初の添字「x」が一般的に表すものはどれか。,行（縦の並び）,列（横の並び）,要素の総数,配列の名前,1,2次元配列は表としてイメージでき、最初の添字が行（縦の並び）、2番目の添字が列（横の並び）を表すのが一般的です。,38 配列
182,関数を呼び出す際に、処理に必要な情報として関数に渡す値を何というか。,戻り値,引数（ひきすう）,ローカル変数,要素,2,関数に対して「このデータを使って処理をしてほしい」と渡す値のことを「引数」といいます。「戻り値」は関数の処理結果、「ローカル変数」は関数内で使う変数、「要素」は配列の中身です。,39 関数
183,関数の処理が終わった後に、呼び出し元のプログラムに返される値を何というか。,引数,グローバル変数,戻り値（返り値）,添字,3,関数が計算や処理を行った結果として、呼び出し元に返すデータを「戻り値（返り値）」といいます。「引数」は関数に渡す値、「グローバル変数」はプログラム全体で有効な変数、「添字」は配列の番号です。,39 関数
184,関数の中で定義され、その関数の内部でのみ有効な変数を何というか。,ローカル変数,グローバル変数,配列,定数,1,関数の中で作成された変数は「ローカル変数」と呼ばれ、関数の外側からは参照することができません。「グローバル変数」は全体で有効な変数、「配列」は複数のデータをまとめたもの、「定数」は変化しない値です。,39 関数
185,プログラム全体で有効であり、関数の内側からも外側からもアクセスできる変数を何というか。,ローカル変数,グローバル変数,戻り値,引数,2,関数の外側で定義され、プログラムのどこからでも利用したり値を変更したりできる変数を「グローバル変数」といいます。関数の中だけで有効な変数は「ローカル変数」です。,39 関数
186,配列などのデータ列の先頭から順番に目的の値を探していくアルゴリズムはどれか。,二分探索,線形探索,バブルソート,選択ソート,2,端から1つずつ、目的の値と一致するかどうかを確認していく最も基本的な探索方法を「線形探索」といいます。「二分探索」は中央値と比較して範囲を絞る方法、「バブルソート」「選択ソート」は整列アルゴリズムです。,40 探索のプログラム
187,データ数が n 個のとき、線形探索において最も見つかるのが遅い場合の比較回数は何回か。,1回,n/2回,n回,log2(n)回,3,目的のデータが配列の最後にあった場合や、存在しなかった場合には、すべてのデータを確認するため n 回の比較が必要です。,40 探索のプログラム
188,二分探索（バイナリサーチ）を行うための必須条件はどれか。,データがすべて正の整数であること。,データが昇順または降順に整列されていること。,データの個数が偶数であること。,データに重複がないこと。,2,二分探索は大小関係を利用して探索範囲を半分に絞り込むため、あらかじめデータが昇順または降順に整列（ソート）されている必要があります。,40 探索のプログラム
189,10個の整列されたデータから二分探索で目的の値を探すとき、最大でおよそ何回の比較が必要か。,10回,5回,4回,1回,3,1回の比較で範囲が半分になるため、2の4乗（16）以内の最大4回で必ず見つけ出すことができます。,40 探索のプログラム
190,隣り合うデータの大小を比較し、必要に応じて交換する操作を繰り返して整列するアルゴリズムはどれか。,選択ソート,挿入ソート,バブルソート（交換法）,二分探索,3,隣り合う要素を比較・交換していくことで、泡（バブル）が浮かび上がるようにデータを端に寄せていく整列方法を「バブルソート」といいます。「選択ソート」は最小値を探して交換、「挿入ソート」は適切な位置に挿入、「二分探索」は探索アルゴリズムです。,41 整列のプログラム
191,未整列のデータ全体から最小値を探し出し、整列済みの末尾の次の要素と交換する整列アルゴリズムはどれか。,選択ソート（選択法）,挿入ソート（挿入法）,バブルソート（交換法）,線形探索,1,データ全体から目的の値を選択し、決まった位置の要素と交換していく整列方法を「選択ソート」といいます。「挿入ソート」は適切な位置への挿入、「バブルソート」は隣接交換、「線形探索」は探索アルゴリズムです。,41 整列のプログラム
192,未整列の先頭のデータを、すでに整列済みのデータ列の適切な位置に割り込ませていく整列アルゴリズムはどれか。,選択ソート,挿入ソート（挿入法）,バブルソート,クイックソート,2,整列済みの部分に対して、新しい要素を正しい位置に挿入していく整列方法を「挿入ソート」といいます。「選択ソート」は最小値の選択、「バブルソート」は隣接交換、「クイックソート」は基準値による分割を用いたアルゴリズムです。,41 整列のプログラム
193,基準値を一つ選び、それより小さいグループと大きいグループに分割する処理を繰り返して高速に整列するアルゴリズムはどれか。,バブルソート,選択ソート,挿入ソート,クイックソート,4,基準値（ピボット）を用いた分割と再帰呼び出しを利用して、計算量を少なく高速に整列を行うアルゴリズムを「クイックソート」といいます。他の選択肢は基本的な整列アルゴリズムです。,総合問題
194,クイックソートのように、関数の中で再び「自分自身の関数」を呼び出して処理を繰り返すことを何というか。,反復呼び出し,再帰呼び出し,値渡し,参照渡し,2,関数の中で自分自身を呼び出すことを「再帰呼び出し（リカーシブコール）」といい、分割処理などを簡潔に記述できます。「値渡し」「参照渡し」は引数の渡し方の種類です。,総合問題
195,二つの変数aとbの値を入れ替える際、作業用変数tempを用いる正しい手順はどれか。,a = b、 b = a,temp = a、 a = b、 b = temp,a = temp、 temp = b、 b = a,temp = b、 b = temp、 a = b,2,aの値をそのままbに上書きするとaの値が消えてしまうため、作業用変数（temp）にaの値を一時保存してから交換します。「temp = a、 a = b、 b = temp」が正解です。,41 整列のプログラム
196,プログラミング（Pythonなど）において、変数に値を記憶させる「代入」を意味する記号はどれか。,==,=,<-,:,2,プログラミングにおける「=」は等号ではなく、右辺の式や値を左辺の変数に上書き記憶させる「代入」を意味します。等しいことを判定する演算子が「==」です。,37 プログラミングの基本
197,Pythonのif文などで「左辺と右辺が等しい」という条件を判定するための比較演算子はどれか。,=,==,!=,>=,2,数学の「等しい」にあたる比較・判定を行うための演算子は「==」を使用します。「=」は代入、「!=」は等しくない、「>=」は左辺が右辺以上であることを表します。,37 プログラミングの基本
198,論理演算「A and B」の結果が「真（True）」となるのはどのような場合か。,AとBのどちらか一方が真のとき。,AとBの両方が真のとき。,AとBの両方が偽のとき。,Aが偽のとき。,2,論理積（and）は、指定されたすべての条件が成り立っている（両方が真である）ときのみ全体が「真」となります。どちらか一方が真のとき（①）は論理和（or）です。,37 プログラミングの基本
199,論理演算「A or B」の結果が「真（True）」となるのはどのような場合か。,AとBのどちらか一方が真のときのみ。,AとBの少なくとも一方が真のとき。,AとBの両方が真のときのみ。,AとBの両方が偽のとき。,2,論理和（or）は、指定された条件のうちどれか1つでも成り立っていれば（少なくとも一方が真であれば）全体が「真」となります。,37 プログラミングの基本
200,Pythonにおいて、配列（リスト）の末尾に新しい要素を追加するために使用するメソッドはどれか。,add(),insert(),append(),remove(),3,空の配列などにデータを追加していく際、「配列名.append(値)」と記述することで配列の最後に要素を追加できます。「insert()」は指定位置への挿入、「remove()」は要素の削除に使用します。,38 配列
201,他人のIDやパスワードを不正に入力して、コンピュータを不正に利用できる状態にする行為を何というか。,なりすまし,フィッシング,コンピュータウイルス,スクレイピング,1,不正アクセス禁止法で禁止されている行為の一つで、他人の識別符号を無断で用いることを「なりすまし」といいます。「フィッシング」は偽サイトで情報を盗む行為、「コンピュータウイルス」はマルウェア、「スクレイピング」はWebからデータを抽出する技術です。,03 法規による安全対策
202,個人を特定するための「基本四情報」に該当する項目の組み合わせとして最も適当なものはどれか。,氏名、住所、電話番号、メールアドレス,氏名、住所、生年月日、性別,氏名、生年月日、マイナンバー、性別,氏名、住所、血液型、生年月日,2,個人情報のうち、基本となる重要な情報として「氏名、住所、生年月日、性別」の4つを基本四情報と呼びます。電話番号やメールアドレス、マイナンバーなどはこれに含まれません。,04 個人情報とその扱い
203,著作権法において、著作者の意図に反して作品を勝手に改変されない権利（同一性保持権）の例外として認められる可能性が高いのはどれか。,無料の画像素材を自分好みに大きく引き伸ばしてポスターに使う。,カラー写真を白黒印刷の新聞に載せるため、モノクロ2階調に変換する。,インターネットの画像を切り抜いて自分の店のメニュー表に使う。,他人の文章の語尾を自分が使いやすいように勝手に書き換える。,2,「著作物の性質並びにその利用の目的及び態様に照らしやむを得ないと認められる改変（白黒印刷のための変換など）」については、同一性保持権の侵害にはならないとされています。,06 著作権
204,安全なパスワードの設定方法として最も適当なものを選びなさい。,複数のサービスで同じパスワードを使い回す。,忘れにくいように自分のペットの名前をそのまま設定する。,英大文字・小文字・数字・記号を混ぜて長い文字数にする。,辞書に載っている英単語をそのまま設定する。,3,推測されやすい名前や単語（辞書攻撃の対象）、短いパスワード、使い回しは危険です。複数の文字種を組み合わせた長いパスワードが安全とされています。,23 個人による安全対策
205,店舗に導入されているPOSシステムにおいて、商品に付けられたバーコードを読み取ることでシステムに入力される情報として適当なものはどれか。,客の性別,客の年齢層,商品の価格や商品名,当日の天候,3,商品に付けられたバーコードには、商品の価格や商品名などが登録されており、バーコードリーダで読み取って販売情報を集計します。客の性別や年齢層は店員が入力するかカメラ等で判断し、天候は外部データです。,22 情報システム
206,TCP/IPの4階層モデルにおいて、送信先のIPアドレスをもとにデータの通信経路の選択（ルーティング）を行う層はどれか。,アプリケーション層,トランスポート層,インターネット層,ネットワークインタフェース層,3,「インターネット層」はIPアドレスをもとに経路選択を行います。「アプリケーション層」はHTTPなどの通信、「トランスポート層」は通信の信頼性確保、「ネットワークインタフェース層」は隣接機器との通信を担います。,20 インターネットの仕組み
207,ドメイン名において、日本の組織であれば誰でも登録でき、日本語の文字も利用可能な「汎用JPドメイン」の例として適当なものはどれか。,example.co.jp,example.jp,example.com,example.net,2,「.jp」で終わるドメイン名のうち、組織区分（coやacなど）を持たずより柔軟に登録できるものを汎用JPドメインといいます。「.com」や「.net」は分野別トップレベルドメイン（gTLD）です。,20 インターネットの仕組み
208,インターネットの普及によるIPアドレス枯渇問題に対応するために導入された「IPv6」は、何ビットのデータで表現されるか。,32ビット,64ビット,128ビット,256ビット,3,従来のIPv4が32ビット（約43億個）であったのに対し、IPv6は128ビットに拡張されており、実質的に無限のアドレスを割り当て可能です。,20 インターネットの仕組み
209,データベースの関係演算において、表の中から条件に合う特定の行（レコード）を取り出して表示する操作を何というか。,選択,射影,結合,集約,1,指定した条件に一致する行（レコード）を抽出する操作を「選択」といいます。「射影」は特定の列を取り出す操作、「結合」は共通項目で表を結び付ける操作、「集約」は合計や平均を求める処理です。,24 データベースの仕組み
210,データベースの関係演算において、複数の表を共通する項目（キー）で結び付けて一つの表にまとめる操作を何というか。,選択,射影,結合,抽出,3,別々の表にあるデータを、共通のフィールドを基準に結び付けて一つの表として表示する関係演算を「結合」といいます。「選択」は行の抽出、「射影」は列の抽出です。,24 データベースの仕組み
211,時系列データの傾向を調べるため、細かい変動を取り除いて大まかな動きを明らかにする方法として「一定期間のデータの平均値」を求める手法を何というか。,最小二乗法,移動平均法,モンテカルロ法,線形探索法,2,一定の時間範囲の平均値をその範囲の代表値として計算し平滑化する手法を「移動平均法」といいます。「最小二乗法」は回帰直線を求める手法、「モンテカルロ法」は確率的シミュレーション、「線形探索法」は探索手法です。,31 時系列分析と回帰分析
212,散布図に近似直線を引く際、各データと直線との差（残差）の二乗の合計が最も小さくなるような直線を求める方法を何というか。,最小二乗法,移動平均法,二分探索法,クロス集計,1,実測値のデータに最も近い近似直線を求めるために残差の二乗和を最小化する手法を「最小二乗法」といいます。「クロス集計」はアンケートなどを項目別に集計し分析する手法です。,31 時系列分析と回帰分析
213,引くためのドアノブなど、人間がどのように操作すればよいかを視覚的・直感的に伝えるデザイン上のサインを何というか。,ピクトグラム,シグニファイア,インフォグラフィックス,プロトコル,2,対象物が持つ意味（アフォーダンス）を、操作の手がかりとして人にわかりやすく伝えるサインを「シグニファイア」といいます。「ピクトグラム」は図記号、「インフォグラフィックス」は情報の視覚的表現、「プロトコル」は通信規約です。,07 情報デザイン
214,非常口のマークのように、言葉の壁を越えて誰にでも直感的に意味が伝わるようにデザインされた視覚記号を何というか。,アイコン,ロゴマーク,ピクトグラム,バーコード,3,情報を抽象化し、単純な構図と明瞭な色で表された図記号を「ピクトグラム」といいます。「アイコン」はコンピュータの操作用絵文字、「ロゴマーク」はシンボル、「バーコード」は情報の識別コードです。,07 情報デザイン
215,Webページを記述するHTMLにおいて、文字コードやタイトルなど、画面には直接表示されない「ヘッダ情報」を記述するためのタグはどれか。,<body> ～ </body>,<head> ～ </head>,<h1> ～ </h1>,<a> ～ </a>,2,HTML文書の文字コードやタイトルなど、ブラウザに伝えるための情報は <head> タグ内に記述します。画面に表示される本文は <body> タグ、見出しは <h1> タグ、ハイパーリンクは <a> タグを使用します。,09 Webページと情報デザイン
216,温度や時間のように、切れ目のない連続的な量としてそのまま表現されているデータを何データというか。,デジタルデータ,アナログデータ,バイナリデータ,離散データ,2,連続的に変化する量をそのまま連続的な量として表現したものを「アナログデータ」といいます。一定間隔で区切り、0と1などの飛び飛びの値で表現したものが「デジタルデータ（離散データ）」です。,10 デジタル情報の特徴
217,2進数の「01101101」と「00010011」を加算した結果として正しいものはどれか。,1111110,1111111,10000000,10000001,3,2進数で右端から足していくと 1+1=10 となりすべて繰り上がりが生じ、最終的に「10000000」となります。,13 演算の仕組み
218,コンピュータで「0.1」のような無限に続く小数を扱う際、定められた有限の桁数に収めるために途中の桁で切り捨て等を行うことで生じる誤差はどれか。,桁落ち誤差,丸め誤差,情報落ち誤差,打切り誤差,2,定められた有限の桁数に収めるために端数処理を行うことで生じる誤差を「丸め誤差」といいます。「桁落ち」は値の近い引き算、「情報落ち」は大小差が大きい加減算、「打切り」は無限計算を打ち切ることで生じます。,13 演算の仕組み
219,コンピュータの論理回路のうち、1桁の2進数同士の加算を行い、その「和」と「桁上がり」を出力する回路を何というか。,NOT回路,OR回路,半加算回路,フリップフロップ回路,3,下位からの桁上がりを考慮せずに2つの入力の加算を行う回路を「半加算回路」といいます。「NOT回路」は反転、「OR回路」は論理和、「フリップフロップ回路」はデータを保持する記憶回路です。,13 演算の仕組み
220,人間の可聴域の上限である約20000Hzの音をデジタル化して完全に元の波形に復元するためには、最低でも何Hzの標本化周波数が必要か。,20000Hz,40000Hz,44100Hz,80000Hz,2,標本化定理により、元のアナログ波形を再現するためには、含まれる最大周波数の「2倍より大きい」標本化周波数が必要です。したがって約40000Hzとなります。,14 音の表現
221,画像のデジタル化において、1画素（ピクセル）あたりで表現できる色の細かさや明るさの段階数を何というか。,解像度,階調,サンプリング,ビットレート,2,色の濃淡や明暗を何段階で表現できるかを示す言葉を「階調」といいます。「解像度」は画素の細かさ、「サンプリング」は音などの標本化、「ビットレート」は1秒あたりのデータ量です。,15 画像の表現
222,画像データの圧縮形式のうち、人間の目の特性を利用してデータの一部を削ることで高い圧縮率を実現する非可逆圧縮の形式はどれか。,ZIP,PNG,JPEG,BMP,3,「JPEG」は写真などの保存によく用いられ、元のデータに完全には戻らない非可逆圧縮方式を採用しています。「ZIP」や「PNG」は可逆圧縮、「BMP」は無圧縮の形式です。,18 データの圧縮と効率化
223,出現頻度の高いデータには短い符号を、低いデータには長い符号を割り当てることで、全体のデータ量を減らす圧縮方式はどれか。,ランレングス圧縮,ハフマン符号化,LZ圧縮,非可逆圧縮,2,データの出現頻度の偏りを利用して圧縮効率を高める可逆圧縮の方式を「ハフマン符号化」といいます。「ランレングス圧縮」は連続する回数を記録し、「LZ圧縮」は過去のデータ列を辞書として利用します。,18 データの圧縮と効率化
224,データ通信において、誤りがないかを確認するために、送信データに含まれる「1」の個数が偶数か奇数かを表す1ビットの情報を付加する手法を何というか。,パリティチェック,デジタル署名,公開鍵暗号,チェックディジット,1,「1」の個数を数え、その偶奇を表す情報を付与することで誤りを検出する手法を「パリティチェック」といいます。「デジタル署名」は本人確認、「チェックディジット」はバーコードなどの入力誤り検出に使われます。,26 安全のための情報技術
225,共通鍵暗号方式で、8人が互いに誰とでも暗号通信を行えるようにする場合、全体で何個の鍵が必要になるか。,8個,16個,28個,64個,3,共通鍵暗号方式では1対1の通信ごとに独自の鍵が必要です。8人の場合は n(n-1)/2 の公式により、8×7÷2 = 28個 の鍵が必要になります。,26 安全のための情報技術
226,問題を解決するための「具体的な処理の手順や計算方法」のことを何というか。,プログラム,アルゴリズム,フローチャート,プロトコル,2,問題を解決するために「何を」「どのような順番で」行うのかを明確に記述した手順を「アルゴリズム」といいます。「プログラム」はそれをコンピュータ用に記述したもの、「フローチャート」は図解、「プロトコル」は通信規約です。,36 アルゴリズムとプログラミング
227,Pythonコード「for i in range(1、 6、 1):」において、変数iはいくつからいくつまで変化するか。,1から6まで,0から5まで,1から5まで,0から6まで,3,range(開始値、 終了値、 増減値) は開始値から始まり「終了値を含まない」範囲で変化するため、1、2、3、4、5と変化します。,37 プログラミングの基本
228,Pythonにおいて、変数aが10、変数bが3のとき、「a % b」の演算結果はいくつになるか。,3,3.333,1,13,3,「%」は割り算の余りを求める演算子です。10を3で割った商は3、余りは1となるため、結果は1となります。,37 プログラミングの基本
229,変数waに初期値0が入っている。繰り返し処理の中で「wa = wa + a」を繰り返し実行した場合、変数waの役割として最も適当なものはどれか。,変数aの値を1ずつ増やす。,変数aの平均値を計算する。,これまでの変数aの値をすべて合計した値を記憶する。,ループの回数を数える。,3,右辺で現在のwaにaの値を足し、その結果を左辺のwaに上書き保存していくため、変数の合計値（累積和）を求める処理になります。,37 プログラミングの基本
230,配列（リスト）の中に格納されている一つひとつのデータを識別するために割り当てられる番号を何というか。,要素,引数,戻り値,添字（インデックス）,4,配列内の各データの位置を指定するための番号を「添字（インデックス）」といい、通常は0から始まります。「要素」はデータそのもの、「引数」は関数に渡す値、「戻り値」は関数から返る値です。,38 配列
231,2次元配列「 Zahyou［x、 y］ 」において、最初の添字「x」が一般的に表すものはどれか。,行（縦の並び）,列（横の並び）,要素の総数,配列の名前,1,2次元配列は表としてイメージでき、最初の添字が行（縦の並び）、2番目の添字が列（横の並び）を表すのが一般的です。,38 配列
232,関数を呼び出す際に、処理に必要な情報として呼び出し元から関数に渡す値を何というか。,戻り値,引数（ひきすう）,ローカル変数,グローバル変数,2,関数に対して「このデータを使って処理をしてほしい」と渡す値のことを「引数」といいます。「戻り値」は関数から返される結果、「ローカル変数」は関数内のみで有効な変数です。,39 関数
233,関数の処理が終わった後に、計算結果として呼び出し元のプログラムに返却される値を何というか。,引数,ローカル変数,戻り値（返り値）,添字,3,関数が計算や処理を行った結果として、呼び出し元に返すデータを「戻り値（返り値）」といいます。「引数」は関数に渡す値、「添字」は配列の番号です。,39 関数
234,配列などのデータ列の先頭から順番に、目的の値と一致するかどうかを一つずつ確認していく探索アルゴリズムはどれか。,二分探索,線形探索,バブルソート,選択ソート,2,端から1つずつ、目的の値と一致するかどうかを確認していく最も基本的な探索方法を「線形探索」といいます。「二分探索」は中央値を利用し、「バブルソート」「選択ソート」は整列アルゴリズムです。,40 探索のプログラム
235,データ数が n 個のとき、線形探索において最も見つかるのが遅い（最悪の）場合の比較回数は何回か。,1回,n / 2 回,n 回,log2(n) 回,3,目的のデータが配列の最後にあった場合や、存在しなかった場合には、すべてのデータを確認するため比較回数は「n 回」になります。「log2(n) 回」は二分探索のおおよその最大比較回数です。,40 探索のプログラム
236,二分探索（バイナリサーチ）を行うための必須条件はどれか。,データがすべて正の整数であること。,データが昇順または降順に整列されていること。,データの個数が偶数であること。,データに重複がないこと。,2,二分探索は大小関係を利用して探索範囲を半分に絞り込むため、あらかじめデータが昇順または降順に「整列（ソート）されている」必要があります。,40 探索のプログラム
237,昇順に整列されたデータ列から二分探索を行う際、探索値が中央値より小さい場合、次の探索範囲はどうなるか。,中央値から右側（大きい部分）,中央値から左側（小さい部分）,探索を終了する,全体をもう一度探索する,2,昇順（小さい順）に並んでいる場合、探索値が中央値より小さければ、目的の値は中央値の左側に存在することになります。右側は探索範囲から除外されます。,40 探索のプログラム
238,100個の整列されたデータから二分探索で目的の値を探すとき、最大でおよそ何回の比較が必要か。,7回,50回,100回,1回,1,二分探索は1回の比較で範囲が半分になるため、2の7乗（128）以内の最大「7回」で必ず見つけ出すことができます。線形探索の場合は最大100回です。,40 探索のプログラム
239,隣り合うデータの大小を比較し、必要に応じて交換する操作を繰り返して整列するアルゴリズムはどれか。,選択ソート,挿入ソート,バブルソート（交換法）,クイックソート,3,隣り合う要素を比較・交換していくことで、泡が浮かび上がるようにデータを端に寄せていく整列方法を「バブルソート」といいます。「選択ソート」は最小値を探して交換、「挿入ソート」は適切な位置への挿入を行います。,41 整列のプログラム
240,バブルソート（昇順）でデータを整列するとき、1周目の比較・交換が最後まで完了した時点で、必ず正しい位置に確定するデータはどれか。,最小値,中央値,最大値,ランダムな値,3,昇順の場合、1周目の操作が終わると、最も大きい値（最大値）が配列の最後尾に押し出されて位置が確定します。,41 整列のプログラム
241,未整列のデータ全体から最小値（または最大値）を探し出し、整列済みの末尾の次の要素と交換する整列アルゴリズムはどれか。,選択ソート（選択法）,挿入ソート（挿入法）,バブルソート（交換法）,線形探索,1,データ全体から目的の値を選択し、決まった位置の要素と交換していく整列方法を「選択ソート」といいます。「挿入ソート」は挿入、「バブルソート」は隣接交換、「線形探索」は探索アルゴリズムです。,41 整列のプログラム
242,未整列の先頭にあるデータを、すでに整列済みのデータ列の適切な位置に割り込ませていく整列アルゴリズムはどれか。,選択ソート,挿入ソート（挿入法）,バブルソート,クイックソート,2,整列済みの部分に対して、新しい要素を正しい大小関係の位置に挿入していく整列方法を「挿入ソート」といいます。「選択ソート」は最小値の選択、「クイックソート」は基準値での分割を行います。,41 整列のプログラム
243,基準値を一つ選び、それより小さいグループと大きいグループに分割する処理を繰り返して高速に整列するアルゴリズムはどれか。,バブルソート,選択ソート,挿入ソート,クイックソート,4,基準値（ピボット）を用いた分割と、関数が自分自身を呼び出す再帰呼び出しを利用して高速に整列を行うアルゴリズムを「クイックソート」といいます。他の選択肢は基本的な整列アルゴリズムです。,総合問題
